domain,difficulty,scene,method,provider,model,total_runs,first_attempt_successes,first_attempt_success_rate,final_successes,final_success_rate,average_iterations
block,easy,scene_01_blocksworld_basic,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
block,easy,scene_01_blocksworld_basic,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0
block,easy,scene_01_blocksworld_basic,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0
block,easy,scene_01_blocksworld_basic,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
block,easy,scene_01_blocksworld_basic,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0
block,easy,scene_01_blocksworld_basic,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
block,easy,scene_01_blocksworld_basic,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
block,medium,scene_02_pyramid,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
block,medium,scene_02_pyramid,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0
block,medium,scene_02_pyramid,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0
block,medium,scene_02_pyramid,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
block,medium,scene_02_pyramid,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0
block,medium,scene_02_pyramid,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
block,medium,scene_02_pyramid,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
block,hard,scene_03_large_pyramid,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
block,hard,scene_03_large_pyramid,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,2.8
block,hard,scene_03_large_pyramid,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0
block,hard,scene_03_large_pyramid,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
block,hard,scene_03_large_pyramid,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0
block,hard,scene_03_large_pyramid,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
block,hard,scene_03_large_pyramid,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
occlusion,easy,occlusion_easy,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
occlusion,easy,occlusion_easy,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0
occlusion,easy,occlusion_easy,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,1,0.1,2.9
occlusion,easy,occlusion_easy,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
occlusion,easy,occlusion_easy,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0
occlusion,easy,occlusion_easy,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
occlusion,easy,occlusion_easy,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
occlusion,hard,occlusion_hard,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
occlusion,hard,occlusion_hard,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0
occlusion,hard,occlusion_hard,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0
occlusion,hard,occlusion_hard,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
occlusion,hard,occlusion_hard,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0
occlusion,hard,occlusion_hard,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
occlusion,hard,occlusion_hard,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
occlusion,medium,occlusion_medium,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
occlusion,medium,occlusion_medium,hybrid_feedback,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0
occlusion,medium,occlusion_medium,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0
occlusion,medium,occlusion_medium,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
occlusion,medium,occlusion_medium,pure_llm,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0
occlusion,medium,occlusion_medium,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
occlusion,medium,occlusion_medium,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
gearbox,easy,gearbox_easy,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
gearbox,easy,gearbox_easy,hybrid_feedback,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0
gearbox,easy,gearbox_easy,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0
gearbox,easy,gearbox_easy,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
gearbox,easy,gearbox_easy,pure_llm,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0
gearbox,easy,gearbox_easy,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
gearbox,easy,gearbox_easy,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
gearbox,hard,gearbox_hard,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
gearbox,hard,gearbox_hard,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0
gearbox,hard,gearbox_hard,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0
gearbox,hard,gearbox_hard,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
gearbox,hard,gearbox_hard,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0
gearbox,hard,gearbox_hard,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
gearbox,hard,gearbox_hard,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
gearbox,medium,gearbox_medium,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
gearbox,medium,gearbox_medium,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,2.9
gearbox,medium,gearbox_medium,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0
gearbox,medium,gearbox_medium,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0
gearbox,medium,gearbox_medium,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0
gearbox,medium,gearbox_medium,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0
gearbox,medium,gearbox_medium,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0
