scene,mode,method,provider,model,total_runs,first_attempt_successes,first_attempt_success_rate,final_successes,final_success_rate,average_iterations,average_total_val_runtime_seconds
gearbox_easy,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,0.270544
gearbox_easy,llm,hybrid_feedback,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0,0.320316
gearbox_easy,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0,0.55734
gearbox_easy,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,0.823854
gearbox_easy,llm,pure_llm,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0,0.305962
gearbox_easy,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.28597
gearbox_easy,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.079959
gearbox_hard,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.403362
gearbox_hard,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,1.725276
gearbox_hard,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.436783
gearbox_hard,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.604185
gearbox_hard,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,0.086741
gearbox_hard,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.083078
gearbox_hard,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.085056
gearbox_medium,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,1.276739
gearbox_medium,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,2.9,0.466753
gearbox_medium,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.245625
gearbox_medium,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,0.967673
gearbox_medium,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,0.087469
gearbox_medium,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.238029
gearbox_medium,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.083131
