run_id,scene,mode,method,provider,model,success,first_attempt_valid,iterations,first_plan_length,final_plan_length,first_failed_step,first_failed_action,first_error,final_failed_step,final_failed_action,final_error,inferred_root_cause,total_val_runtime_seconds,average_val_runtime_seconds,failure_stage,run_directory,summary_file
run_20260822_175853,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.108968,0.108968,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_175853,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_175853\run_summary.json
run_20260822_175857,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.0746,0.0746,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_175857,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_175857\run_summary.json
run_20260822_175858,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.069214,0.069214,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_175858,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_175858\run_summary.json
run_20260822_180154_804858,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.073579,0.073579,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180154_804858,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180154_804858\run_summary.json
run_20260822_180157_208811,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.072938,0.072938,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180157_208811,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180157_208811\run_summary.json
run_20260822_180157_636422,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.071051,0.071051,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180157_636422,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180157_636422\run_summary.json
run_20260822_180158_051318,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.070932,0.070932,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180158_051318,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180158_051318\run_summary.json
run_20260822_180158_465170,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.071637,0.071637,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180158_465170,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180158_465170\run_summary.json
run_20260822_180158_870131,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.070521,0.070521,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180158_870131,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180158_870131\run_summary.json
run_20260822_180159_280268,occlusion_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.07142,0.07142,,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180159_280268,D:\LLM-PDDL\results\occlusion_formal\pure_pddl\occlusion_manipulation\occlusion_easy\run_20260822_180159_280268\run_summary.json
