run_id,scene,mode,method,provider,model,success,first_attempt_valid,iterations,first_plan_length,final_plan_length,first_failed_step,first_failed_action,first_error,final_failed_step,final_failed_action,final_error,inferred_root_cause,total_val_runtime_seconds,average_val_runtime_seconds,failure_stage,run_directory,summary_file
run_20260823_204430_531112,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.089427,0.089427,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204430_531112,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204430_531112\run_summary.json
run_20260823_204434_627116,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.072838,0.072838,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204434_627116,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204434_627116\run_summary.json
run_20260823_204435_067780,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.07393,0.07393,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204435_067780,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204435_067780\run_summary.json
run_20260823_204435_493091,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.071147,0.071147,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204435_493091,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204435_493091\run_summary.json
run_20260823_204435_908483,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.075923,0.075923,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204435_908483,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204435_908483\run_summary.json
run_20260823_204436_330837,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.077472,0.077472,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204436_330837,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204436_330837\run_summary.json
run_20260823_204436_763049,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.106753,0.106753,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204436_763049,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204436_763049\run_summary.json
run_20260823_204437_219322,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.076604,0.076604,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204437_219322,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204437_219322\run_summary.json
run_20260823_204437_648919,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.072628,0.072628,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204437_648919,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204437_648919\run_summary.json
run_20260823_204438_064370,gearbox_easy,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.08287,0.08287,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204438_064370,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_easy\run_20260823_204438_064370\run_summary.json
run_20260823_211256_853765,gearbox_hard,pddl,pure_pddl,,fast_downward,True,True,1,10,10,,,,,,,,0.088171,0.088171,,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_hard\run_20260823_211256_853765,D:\LLM-PDDL\results\gearbox_formal\pure_pddl\gearbox\gearbox_hard\run_20260823_211256_853765\run_summary.json
