domain,difficulty,scene,mode,method,provider,model,total_runs,first_attempt_successes,first_attempt_success_rate,final_successes,final_success_rate,average_iterations,average_total_val_runtime_seconds
block,easy,scene_01_blocksworld_basic,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,0.401861
block,easy,scene_01_blocksworld_basic,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,30.23431
block,easy,scene_01_blocksworld_basic,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.582388
block,easy,scene_01_blocksworld_basic,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,1.539959
block,easy,scene_01_blocksworld_basic,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,9.048372
block,easy,scene_01_blocksworld_basic,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,3.392384
block,easy,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.349637
block,medium,scene_02_pyramid,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,3.228281
block,medium,scene_02_pyramid,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,33.435021
block,medium,scene_02_pyramid,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0,0.482653
block,medium,scene_02_pyramid,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,9.075765
block,medium,scene_02_pyramid,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,8.690377
block,medium,scene_02_pyramid,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,12.048168
block,medium,scene_02_pyramid,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.333014
block,hard,scene_03_large_pyramid,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,3.313962
block,hard,scene_03_large_pyramid,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,2.8,0.647146
block,hard,scene_03_large_pyramid,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0,0.522925
block,hard,scene_03_large_pyramid,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,9.605182
block,hard,scene_03_large_pyramid,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,10.271808
block,hard,scene_03_large_pyramid,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,8.815173
block,hard,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.355389
occlusion,easy,occlusion_easy,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.141218
occlusion,easy,occlusion_easy,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,62.307502
occlusion,easy,occlusion_easy,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,1,0.1,2.9,0.445883
occlusion,easy,occlusion_easy,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,1.611027
occlusion,easy,occlusion_easy,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,0.280622
occlusion,easy,occlusion_easy,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.278241
occlusion,easy,occlusion_easy,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.075486
occlusion,hard,occlusion_hard,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,3.069057
occlusion,hard,occlusion_hard,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,0.4363
occlusion,hard,occlusion_hard,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.430361
occlusion,hard,occlusion_hard,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,3.133431
occlusion,hard,occlusion_hard,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,0.318884
occlusion,hard,occlusion_hard,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.47068
occlusion,hard,occlusion_hard,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.071117
occlusion,medium,occlusion_medium,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.605453
occlusion,medium,occlusion_medium,llm,hybrid_feedback,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0,0.277361
occlusion,medium,occlusion_medium,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.473148
occlusion,medium,occlusion_medium,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.624649
occlusion,medium,occlusion_medium,llm,pure_llm,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0,0.473408
occlusion,medium,occlusion_medium,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.415944
occlusion,medium,occlusion_medium,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.072395
gearbox,easy,gearbox_easy,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,0.270544
gearbox,easy,gearbox_easy,llm,hybrid_feedback,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0,0.320316
gearbox,easy,gearbox_easy,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0,0.55734
gearbox,easy,gearbox_easy,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,0.823854
gearbox,easy,gearbox_easy,llm,pure_llm,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0,0.305962
gearbox,easy,gearbox_easy,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.28597
gearbox,easy,gearbox_easy,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.079959
gearbox,hard,gearbox_hard,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.403362
gearbox,hard,gearbox_hard,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,1.725276
gearbox,hard,gearbox_hard,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.436783
gearbox,hard,gearbox_hard,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.604185
gearbox,hard,gearbox_hard,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,0.086741
gearbox,hard,gearbox_hard,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.083078
gearbox,hard,gearbox_hard,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.085056
gearbox,medium,gearbox_medium,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,1.276739
gearbox,medium,gearbox_medium,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,2.9,0.466753
gearbox,medium,gearbox_medium,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.245625
gearbox,medium,gearbox_medium,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,0.967673
gearbox,medium,gearbox_medium,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,0.087469
gearbox,medium,gearbox_medium,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.238029
gearbox,medium,gearbox_medium,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.083131
