scene,mode,method,provider,model,total_runs,first_attempt_successes,first_attempt_success_rate,final_successes,final_success_rate,average_iterations,average_total_val_runtime_seconds
occlusion_easy,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.141218
occlusion_easy,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,62.307502
occlusion_easy,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,1,0.1,2.9,0.445883
occlusion_easy,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,1.611027
occlusion_easy,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,0.280622
occlusion_easy,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.278241
occlusion_easy,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.075486
occlusion_hard,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,3.069057
occlusion_hard,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,0.4363
occlusion_hard,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.430361
occlusion_hard,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,3.133431
occlusion_hard,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,0.318884
occlusion_hard,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.47068
occlusion_hard,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.071117
occlusion_medium,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.605453
occlusion_medium,llm,hybrid_feedback,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0,0.277361
occlusion_medium,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.473148
occlusion_medium,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,2.624649
occlusion_medium,llm,pure_llm,ollama,llama3.1:8b,10,10,1.0,10,1.0,1.0,0.473408
occlusion_medium,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,0.415944
occlusion_medium,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.072395
