run_id,scene,mode,method,model,success,first_attempt_valid,iterations,first_plan_length,final_plan_length,first_failed_step,first_failed_action,first_error,final_failed_step,final_failed_action,final_error,inferred_root_cause,total_val_runtime_seconds,average_val_runtime_seconds,failure_stage,run_directory,summary_file
run_20260723_234140,scene_02_pyramid,llm,hybrid_feedback,llama3.2:3b,False,False,3,10,,8,pick-up(B2),Missing preconditions: handempty,8,"stack-bridge(B1, B2, B3)","Missing preconditions: right-free(B2), left-free(B3)",redundant_actions_after_goal_achievement,25.51415,8.504717,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260723_234140,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_01_llama3.2\llama32_run01_summary.json
run_20260723_235631,scene_02_pyramid,llm,hybrid_feedback,qwen2.5:latest,True,False,2,12,6,8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),,,,redundant_actions_after_goal_achievement,25.335524,12.667762,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260723_235631,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_01_qwen2.5\qwen25_run01_summary.json
run_20260723_234646,scene_02_pyramid,llm,hybrid_feedback,llama3.2:3b,False,False,3,10,,8,pick-up(B2),Missing preconditions: handempty,8,"stack-bridge(B1, B2, B3)","Missing preconditions: right-free(B2), left-free(B3)",redundant_actions_after_goal_achievement,22.343156,7.447719,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260723_234646,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_02_llama3.2\llama32_run02_summary.json
run_20260724_000311,scene_02_pyramid,llm,hybrid_feedback,qwen2.5:latest,True,False,2,12,6,8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),,,,redundant_actions_after_goal_achievement,18.464964,9.232482,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260724_000311,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_02_qwen2.5\qwen25_run02_summary.json
run_20260723_235116,scene_02_pyramid,llm,hybrid_feedback,llama3.2:3b,False,False,3,10,,8,pick-up(B2),Missing preconditions: handempty,8,"stack-bridge(B1, B2, B3)","Missing preconditions: right-free(B2), left-free(B3)",redundant_actions_after_goal_achievement,22.656265,7.552088,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260723_235116,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_03_llama3.2\llama32_run03_summary.json
run_20260724_000732,scene_02_pyramid,llm,hybrid_feedback,qwen2.5:latest,True,False,2,12,6,8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),,,,redundant_actions_after_goal_achievement,15.056316,7.528158,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260724_000732,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_03_qwen2.5\qwen25_run03_summary.json
run_20260724_022603,scene_02_pyramid,llm,pure_llm,llama3.1:8b,True,True,1,6,6,,,,,,,,14.160696,14.160696,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260724_022603,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260724_022603\run_summary.json
run_20260724_022853,scene_02_pyramid,llm,pure_llm,llama3.2:3b,False,False,1,10,,8,pick-up(B2),Missing preconditions: handempty,8,pick-up(B2),Missing preconditions: handempty,redundant_actions_after_goal_achievement,11.854614,11.854614,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260724_022853,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260724_022853\run_summary.json
run_20260724_023032,scene_02_pyramid,llm,pure_llm,qwen2.5:latest,False,False,1,12,,8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),8,"stack-bridge(B1, B1, B1)",Missing preconditions: right-free(B1),redundant_actions_after_goal_achievement,9.837107,9.837107,maximum_iterations_reached,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260724_023032,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_20260724_023032\run_summary.json
run_hybrid_feedback_llama3.1_8b_01,scene_02_pyramid,llm,hybrid_feedback,llama3.1:8b,True,True,1,6,6,,,,,,,,10.381429,10.381429,,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_hybrid_feedback_llama3.1_8b_01,E:\桌面\LLM-PDDL\results\refinement\scene_02_pyramid\run_hybrid_feedback_llama3.1_8b_01\run_summary.json
