domain,difficulty,run_id,scene,mode,method,provider,model,success,first_attempt_valid,iterations,first_plan_length,final_plan_length,first_failed_step,first_failed_action,first_error,final_failed_step,final_failed_action,final_error,inferred_root_cause,total_val_runtime_seconds,average_val_runtime_seconds,failure_stage,run_directory,summary_file
block,easy,run_20260814_013425,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.701733,0.701733,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013425,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013425\run_summary.json
block,easy,run_20260814_013442,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.582837,0.582837,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013442,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013442\run_summary.json
block,easy,run_20260814_013445,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.499226,0.499226,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013445,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013445\run_summary.json
block,easy,run_20260814_013448,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.313386,0.313386,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013448,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013448\run_summary.json
block,easy,run_20260814_013450,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.274253,0.274253,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013450,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013450\run_summary.json
block,easy,run_20260814_013452,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.368211,0.368211,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013452,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013452\run_summary.json
block,easy,run_20260814_013454,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.234238,0.234238,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013454,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013454\run_summary.json
block,easy,run_20260814_013455,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.16652,0.16652,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013455,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013455\run_summary.json
block,easy,run_20260814_013456,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.171064,0.171064,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013456,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013456\run_summary.json
block,easy,run_20260814_013457,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.184897,0.184897,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013457,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013457\run_summary.json
block,medium,run_20260814_013542,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.858424,0.858424,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013542,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013542\run_summary.json
block,medium,run_20260814_013558,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.297621,0.297621,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013558,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013558\run_summary.json
block,medium,run_20260814_013602,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.547188,0.547188,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013602,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013602\run_summary.json
block,medium,run_20260814_013605,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.286318,0.286318,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013605,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013605\run_summary.json
block,medium,run_20260814_013607,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.319676,0.319676,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013607,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013607\run_summary.json
block,medium,run_20260814_013610,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.21611,0.21611,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013610,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013610\run_summary.json
block,medium,run_20260814_013611,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.25835,0.25835,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013611,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013611\run_summary.json
block,medium,run_20260814_013613,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.174846,0.174846,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013613,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013613\run_summary.json
block,medium,run_20260814_013614,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.189567,0.189567,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013614,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013614\run_summary.json
block,medium,run_20260814_013615,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.182037,0.182037,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013615,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013615\run_summary.json
block,hard,run_20260814_013638,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.155608,0.155608,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013638,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013638\run_summary.json
block,hard,run_20260814_013651,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.949913,0.949913,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013651,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013651\run_summary.json
block,hard,run_20260814_013655,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.875842,0.875842,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013655,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013655\run_summary.json
block,hard,run_20260814_013702,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.243643,0.243643,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013702,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013702\run_summary.json
block,hard,run_20260814_013705,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.213315,0.213315,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013705,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013705\run_summary.json
block,hard,run_20260814_013707,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.405923,0.405923,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013707,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013707\run_summary.json
block,hard,run_20260814_013711,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.170934,0.170934,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013711,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013711\run_summary.json
block,hard,run_20260814_013713,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.165712,0.165712,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013713,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013713\run_summary.json
block,hard,run_20260814_013714,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.201396,0.201396,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013714,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013714\run_summary.json
block,hard,run_20260814_013716,scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,12,12,,,,,,,,0.1716,0.1716,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013716,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_03_large_pyramid\run_20260814_013716\run_summary.json
block,easy,run_hybrid_feedback_deepseek-v4-flash_01,scene_01_blocksworld_basic,llm,hybrid_feedback,deepseek,deepseek-v4-flash,True,True,1,4,4,,,,,,,,3.384629,3.384629,,D:\LLM-PDDL\results\formal\refinement\block_building\scene_01_blocksworld_basic\run_hybrid_feedback_deepseek-v4-flash_01,D:\LLM-PDDL\results\formal\refinement\block_building\scene_01_blocksworld_basic\run_hybrid_feedback_deepseek-v4-flash_01\run_summary.json
block,easy,run_hybrid_feedback_deepseek-v4-flash_02,scene_01_blocksworld_basic,llm,hybrid_feedback,deepseek,deepseek-v4-flash,True,True,1,4,4,,,,,,,,0.075227,0.075227,,D:\LLM-PDDL\results\formal\refinement\block_building\scene_01_blocksworld_basic\run_hybrid_feedback_deepseek-v4-flash_02,D:\LLM-PDDL\results\formal\refinement\block_building\scene_01_blocksworld_basic\run_hybrid_feedback_deepseek-v4-flash_02\run_summary.json
block,easy,run_hybrid_feedback_deepseek-v4-flash_03,scene_01_blocksworld_basic,llm,hybrid_feedback,deepseek,deepseek-v4-flash,True,True,1,4,4,,,,,,,,0.071157,0.071157,,D:\LLM-PDDL\results\formal\refinement\block_building\scene_01_blocksworld_basic\run_hybrid_feedback_deepseek-v4-flash_03,D:\LLM-PDDL\results\formal\refinement\block_building\scene_01_blocksworld_basic\run_hybrid_feedback_deepseek-v4-flash_03\run_summary.json
