scene,mode,method,provider,model,total_runs,first_attempt_successes,first_attempt_success_rate,final_successes,final_success_rate,average_iterations,average_total_val_runtime_seconds
scene_01_blocksworld_basic,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,0.401861
scene_01_blocksworld_basic,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,30.23431
scene_01_blocksworld_basic,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,0,0.0,3.0,0.582388
scene_01_blocksworld_basic,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,1.539959
scene_01_blocksworld_basic,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,9.048372
scene_01_blocksworld_basic,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,3.392384
scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.349637
scene_02_pyramid,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,3.228281
scene_02_pyramid,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,3.0,33.435021
scene_02_pyramid,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0,0.482653
scene_02_pyramid,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,9.075765
scene_02_pyramid,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,8.690377
scene_02_pyramid,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,12.048168
scene_02_pyramid,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.333014
scene_03_large_pyramid,llm,hybrid_feedback,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,3.313962
scene_03_large_pyramid,llm,hybrid_feedback,ollama,llama3.1:8b,10,0,0.0,0,0.0,2.8,0.647146
scene_03_large_pyramid,llm,hybrid_feedback,ollama,qwen2.5:latest,10,0,0.0,10,1.0,2.0,0.522925
scene_03_large_pyramid,llm,pure_llm,deepseek,deepseek-v4-flash,10,10,1.0,10,1.0,1.0,9.605182
scene_03_large_pyramid,llm,pure_llm,ollama,llama3.1:8b,10,0,0.0,0,0.0,1.0,10.271808
scene_03_large_pyramid,llm,pure_llm,ollama,qwen2.5:latest,10,0,0.0,0,0.0,1.0,8.815173
scene_03_large_pyramid,pddl,pure_pddl,,fast_downward,10,10,1.0,10,1.0,1.0,0.355389
