run_id,scene,mode,method,provider,model,success,first_attempt_valid,iterations,first_plan_length,final_plan_length,first_failed_step,first_failed_action,first_error,final_failed_step,final_failed_action,final_error,inferred_root_cause,total_val_runtime_seconds,average_val_runtime_seconds,failure_stage,run_directory,summary_file
run_20260814_013425,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.701733,0.701733,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013425,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013425\run_summary.json
run_20260814_013442,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.582837,0.582837,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013442,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013442\run_summary.json
run_20260814_013445,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.499226,0.499226,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013445,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013445\run_summary.json
run_20260814_013448,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.313386,0.313386,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013448,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013448\run_summary.json
run_20260814_013450,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.274253,0.274253,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013450,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013450\run_summary.json
run_20260814_013452,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.368211,0.368211,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013452,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013452\run_summary.json
run_20260814_013454,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.234238,0.234238,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013454,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013454\run_summary.json
run_20260814_013455,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.16652,0.16652,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013455,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013455\run_summary.json
run_20260814_013456,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.171064,0.171064,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013456,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013456\run_summary.json
run_20260814_013457,scene_01_blocksworld_basic,pddl,pure_pddl,,fast_downward,True,True,1,4,4,,,,,,,,0.184897,0.184897,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013457,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_01_blocksworld_basic\run_20260814_013457\run_summary.json
run_20260814_013542,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.858424,0.858424,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013542,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013542\run_summary.json
run_20260814_013558,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.297621,0.297621,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013558,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013558\run_summary.json
run_20260814_013602,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.547188,0.547188,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013602,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013602\run_summary.json
run_20260814_013605,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.286318,0.286318,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013605,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013605\run_summary.json
run_20260814_013607,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.319676,0.319676,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013607,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013607\run_summary.json
run_20260814_013610,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.21611,0.21611,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013610,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013610\run_summary.json
run_20260814_013611,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.25835,0.25835,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013611,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013611\run_summary.json
run_20260814_013613,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.174846,0.174846,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013613,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013613\run_summary.json
run_20260814_013614,scene_02_pyramid,pddl,pure_pddl,,fast_downward,True,True,1,6,6,,,,,,,,0.189567,0.189567,,E:\桌面\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013614,D:\LLM-PDDL\results\formal\pure_pddl\block_building\scene_02_pyramid\run_20260814_013614\run_summary.json
